City,Type,Category,Sub-Category,Amount
Hayward,Revenue,Revenue From Use of Money and Property,"Rents, Concessions, Royalties and Other",1113107
Hayward,Revenue,Intergovernmental,State Motor Vehicle In-Lieu Tax,522508
Hayward,Revenue,Intergovernmental,State Homeowners Property Tax Relief,288599
Hayward,Revenue,Intergovernmental,State Gasoline Tax,2529144
Hayward,Revenue,Intergovernmental,Other State Grants,28761168
Hayward,Revenue,Intergovernmental,County Grants,
Hayward,Revenue,Intergovernmental,Federal Grants,2668716
Hayward,Revenue,Intergovernmental,Other Taxes In-Lieu,
Hayward,Revenue,Current Service Charges,"Zoning, Subdivision, and Plan Checking Fees",856492
Hayward,Revenue,Current Service Charges,Special Police Department Services,2343808
Hayward,Revenue,Current Service Charges,Special Fire Department Services and First Aid and Ambulance Charges,4623201
Hayward,Revenue,Current Service Charges,"Engineering Fees, Inspections, and Other",1478430
Hayward,Revenue,Current Service Charges,Sewer Service Charges and Connection Fees,19278523
Hayward,Revenue,Current Service Charges,Solid Waste Revenues,
Hayward,Revenue,Current Service Charges,Parking Facilities,
Hayward,Revenue,Current Service Charges,Parks and Recreation Fees,548828
Hayward,Revenue,Current Service Charges,Golf Course Fees,
Hayward,Revenue,Current Service Charges,Water Service Charges and Connection Fees,29480574
Hayward,Revenue,Current Service Charges,Electric Revenues,
Hayward,Revenue,Current Service Charges,Gas Revenues,
Hayward,Revenue,Current Service Charges,Airport Revenues,3030206
Hayward,Revenue,Current Service Charges,Port and Harbor Revenues,
Hayward,Revenue,Current Service Charges,Hospital Revenues,
Hayward,Revenue,Current Service Charges,Transit Revenues,
Hayward,Revenue,Current Service Charges,Quasi-External Transactions,
Hayward,Revenue,Current Service Charges,Other Current Service Charges,394803
Hayward,Revenue,Other Revenues,Sale of Real and Personal Property,4190000
Hayward,Revenue,Other Revenues,Contributions from Non-Government Sources,26586
Hayward,Revenue,Other Revenues,Other Sources of Revenues,1395068
Hayward,Revenue,Other Revenues,Other Financing Sources,
Hayward,Revenue,Other Revenues,Sale of Bonds,
Hayward,Revenue,Other Revenues,Notes and Other,
Hayward,Total Revenue,Total Functional and General Revenues,Total Functional and General Revenues,199489744
Healdsburg,Revenue,Taxes,Secured and Unsecured Property Tax,888516
Healdsburg,Revenue,Taxes,Voter Approved Indebtedness Property Tax,659906
Healdsburg,Revenue,Taxes,Other Property Taxes,922957
Healdsburg,Revenue,Taxes,Sales and Use Taxes,2473013
Healdsburg,Revenue,Taxes,Transportation Tax,277247
Healdsburg,Revenue,Taxes,Transient Lodging Taxes,275109
Healdsburg,Revenue,Taxes,Franchises,381153
Healdsburg,Revenue,Taxes,Business License Taxes,315638
Healdsburg,Revenue,Taxes,Real Property Transfer Taxes,48688
Healdsburg,Revenue,Taxes,Utility Users Tax,
Healdsburg,Revenue,Taxes,Other Non-Property Taxes,821843
Healdsburg,Revenue,Special Benefit Assessments,Fire and Paramedics,
Healdsburg,Revenue,Special Benefit Assessments,Police,
Healdsburg,Revenue,Special Benefit Assessments,Lighting,
Healdsburg,Revenue,Special Benefit Assessments,Other,151958
Healdsburg,Revenue,Licenses and Permits,Construction Permits,1300
Healdsburg,Revenue,Licenses and Permits,Other Licenses and Permits,
Healdsburg,Revenue,Fines and Forfeitures,Vehicle Code Fines,33353
Healdsburg,Revenue,Fines and Forfeitures,"Other Fines, Forfeitures, and Penalties",985
Healdsburg,Revenue,Revenue From Use of Money and Property,Investment Earnings,795940
Healdsburg,Revenue,Revenue From Use of Money and Property,"Rents, Concessions, Royalties and Other",246256
Healdsburg,Revenue,Intergovernmental,State Motor Vehicle In-Lieu Tax,41190
Healdsburg,Revenue,Intergovernmental,State Homeowners Property Tax Relief,13964
Healdsburg,Revenue,Intergovernmental,State Gasoline Tax,198631
Healdsburg,Revenue,Intergovernmental,Other State Grants,380944
Healdsburg,Revenue,Intergovernmental,County Grants,4316
Healdsburg,Revenue,Intergovernmental,Federal Grants,1532098
Healdsburg,Revenue,Intergovernmental,Other Taxes In-Lieu,
Healdsburg,Revenue,Current Service Charges,"Zoning, Subdivision, and Plan Checking Fees",
Healdsburg,Revenue,Current Service Charges,Special Police Department Services,106916
Healdsburg,Revenue,Current Service Charges,Special Fire Department Services and First Aid and Ambulance Charges,473774
Healdsburg,Revenue,Current Service Charges,"Engineering Fees, Inspections, and Other",
Healdsburg,Revenue,Current Service Charges,Sewer Service Charges and Connection Fees,8469677
Healdsburg,Revenue,Current Service Charges,Solid Waste Revenues,
Healdsburg,Revenue,Current Service Charges,Parking Facilities,
Healdsburg,Revenue,Current Service Charges,Parks and Recreation Fees,
Healdsburg,Revenue,Current Service Charges,Golf Course Fees,
Healdsburg,Revenue,Current Service Charges,Water Service Charges and Connection Fees,4735079
Healdsburg,Revenue,Current Service Charges,Electric Revenues,10089476
Healdsburg,Revenue,Current Service Charges,Gas Revenues,
Healdsburg,Revenue,Current Service Charges,Airport Revenues,356528
Healdsburg,Revenue,Current Service Charges,Port and Harbor Revenues,
Healdsburg,Revenue,Current Service Charges,Hospital Revenues,
Healdsburg,Revenue,Current Service Charges,Transit Revenues,19211
Healdsburg,Revenue,Current Service Charges,Quasi-External Transactions,
Healdsburg,Revenue,Current Service Charges,Other Current Service Charges,2475626
Healdsburg,Revenue,Other Revenues,Sale of Real and Personal Property,
Healdsburg,Revenue,Other Revenues,Contributions from Non-Government Sources,
Healdsburg,Revenue,Other Revenues,Other Sources of Revenues,5011443
Healdsburg,Revenue,Other Revenues,Other Financing Sources,
Healdsburg,Revenue,Other Revenues,Sale of Bonds,
Healdsburg,Revenue,Other Revenues,Notes and Other,
Healdsburg,Total Revenue,Total Functional and General Revenues,Total Functional and General Revenues,42202735
Hemet,Revenue,Taxes,Secured and Unsecured Property Tax,4970025
Hemet,Revenue,Taxes,Voter Approved Indebtedness Property Tax,
Hemet,Revenue,Taxes,Other Property Taxes,895952
Hemet,Revenue,Taxes,Sales and Use Taxes,8083299
Hemet,Revenue,Taxes,Transportation Tax,2007260
Hemet,Revenue,Taxes,Transient Lodging Taxes,659776
Hemet,Revenue,Taxes,Franchises,1165370
Hemet,Revenue,Taxes,Business License Taxes,604952
Hemet,Revenue,Taxes,Real Property Transfer Taxes,194523
Hemet,Revenue,Taxes,Utility Users Tax,
Hemet,Revenue,Taxes,Other Non-Property Taxes,3185903
Hemet,Revenue,Special Benefit Assessments,Fire and Paramedics,
Hemet,Revenue,Special Benefit Assessments,Police,
Hemet,Revenue,Special Benefit Assessments,Lighting,2362286
Hemet,Revenue,Special Benefit Assessments,Other,2185436
Hemet,Revenue,Licenses and Permits,Construction Permits,1216957
Hemet,Revenue,Licenses and Permits,Other Licenses and Permits,76810
Hemet,Revenue,Fines and Forfeitures,Vehicle Code Fines,152378
Hemet,Revenue,Fines and Forfeitures,"Other Fines, Forfeitures, and Penalties",174266
Hemet,Revenue,Revenue From Use of Money and Property,Investment Earnings,1419746
Hemet,Revenue,Revenue From Use of Money and Property,"Rents, Concessions, Royalties and Other",1565097
Hemet,Revenue,Intergovernmental,State Motor Vehicle In-Lieu Tax,6471355
Hemet,Revenue,Intergovernmental,State Homeowners Property Tax Relief,70505
Hemet,Revenue,Intergovernmental,State Gasoline Tax,1708766
Hemet,Revenue,Intergovernmental,Other State Grants,1361930
Hemet,Revenue,Intergovernmental,County Grants,
Hemet,Revenue,Intergovernmental,Federal Grants,1819265
Hemet,Revenue,Intergovernmental,Other Taxes In-Lieu,
Hemet,Revenue,Current Service Charges,"Zoning, Subdivision, and Plan Checking Fees",667246
Hemet,Revenue,Current Service Charges,Special Police Department Services,266693
Hemet,Revenue,Current Service Charges,Special Fire Department Services and First Aid and Ambulance Charges,105634
Hemet,Revenue,Current Service Charges,"Engineering Fees, Inspections, and Other",526524
Hemet,Revenue,Current Service Charges,Sewer Service Charges and Connection Fees,2949080
Hemet,Revenue,Current Service Charges,Solid Waste Revenues,10882641
Hemet,Revenue,Current Service Charges,Parking Facilities,
Hemet,Revenue,Current Service Charges,Parks and Recreation Fees,302631
Hemet,Revenue,Current Service Charges,Golf Course Fees,
Hemet,Revenue,Current Service Charges,Water Service Charges and Connection Fees,7460773
Hemet,Revenue,Current Service Charges,Electric Revenues,
Hemet,Revenue,Current Service Charges,Gas Revenues,
Hemet,Revenue,Current Service Charges,Airport Revenues,
Hemet,Revenue,Current Service Charges,Port and Harbor Revenues,
Hemet,Revenue,Current Service Charges,Hospital Revenues,
Hemet,Revenue,Current Service Charges,Transit Revenues,
Hemet,Revenue,Current Service Charges,Quasi-External Transactions,
Hemet,Revenue,Current Service Charges,Other Current Service Charges,3525673
Hemet,Revenue,Other Revenues,Sale of Real and Personal Property,72443
Hemet,Revenue,Other Revenues,Contributions from Non-Government Sources,
Hemet,Revenue,Other Revenues,Other Sources of Revenues,190296
Hemet,Revenue,Other Revenues,Other Financing Sources,
Hemet,Revenue,Other Revenues,Sale of Bonds,
Hemet,Revenue,Other Revenues,Notes and Other,
Hemet,Total Revenue,Total Functional and General Revenues,Total Functional and General Revenues,69301491
Hercules,Revenue,Taxes,Secured and Unsecured Property Tax,1218258
Hercules,Revenue,Taxes,Voter Approved Indebtedness Property Tax,
Hercules,Revenue,Taxes,Other Property Taxes,1778130
Hercules,Revenue,Taxes,Sales and Use Taxes,2301086
Hercules,Revenue,Taxes,Transportation Tax,
Hercules,Revenue,Taxes,Transient Lodging Taxes,
Hercules,Revenue,Taxes,Franchises,1698001
Hercules,Revenue,Taxes,Business License Taxes,154471
Hercules,Revenue,Taxes,Real Property Transfer Taxes,85290
Hercules,Revenue,Taxes,Utility Users Tax,861282
Hercules,Revenue,Taxes,Other Non-Property Taxes,179766
Hercules,Revenue,Special Benefit Assessments,Fire and Paramedics,
Hercules,Revenue,Special Benefit Assessments,Police,
Hercules,Revenue,Special Benefit Assessments,Lighting,1625767
Hercules,Revenue,Special Benefit Assessments,Other,407811
Hercules,Revenue,Licenses and Permits,Construction Permits,461174
Hercules,Revenue,Licenses and Permits,Other Licenses and Permits,
Hercules,Revenue,Fines and Forfeitures,Vehicle Code Fines,100374
Hercules,Revenue,Fines and Forfeitures,"Other Fines, Forfeitures, and Penalties",
Hercules,Revenue,Revenue From Use of Money and Property,Investment Earnings,3939016
Hercules,Revenue,Revenue From Use of Money and Property,"Rents, Concessions, Royalties and Other",102646
Hercules,Revenue,Intergovernmental,State Motor Vehicle In-Lieu Tax,103160
Hercules,Revenue,Intergovernmental,State Homeowners Property Tax Relief,17877
Hercules,Revenue,Intergovernmental,State Gasoline Tax,604195
Hercules,Revenue,Intergovernmental,Other State Grants,4583371
Hercules,Revenue,Intergovernmental,County Grants,
Hercules,Revenue,Intergovernmental,Federal Grants,
Hercules,Revenue,Intergovernmental,Other Taxes In-Lieu,
Hercules,Revenue,Current Service Charges,"Zoning, Subdivision, and Plan Checking Fees",185423
Hercules,Revenue,Current Service Charges,Special Police Department Services,218644
Hercules,Revenue,Current Service Charges,Special Fire Department Services and First Aid and Ambulance Charges,
Hercules,Revenue,Current Service Charges,"Engineering Fees, Inspections, and Other",21166
Hercules,Revenue,Current Service Charges,Sewer Service Charges and Connection Fees,3815001
Hercules,Revenue,Current Service Charges,Solid Waste Revenues,
Hercules,Revenue,Current Service Charges,Parking Facilities,
Hercules,Revenue,Current Service Charges,Parks and Recreation Fees,1492109
Hercules,Revenue,Current Service Charges,Golf Course Fees,
Hercules,Revenue,Current Service Charges,Water Service Charges and Connection Fees,
Hercules,Revenue,Current Service Charges,Electric Revenues,2764926
Hercules,Revenue,Current Service Charges,Gas Revenues,
Hercules,Revenue,Current Service Charges,Airport Revenues,
Hercules,Revenue,Current Service Charges,Port and Harbor Revenues,
Hercules,Revenue,Current Service Charges,Hospital Revenues,
Hercules,Revenue,Current Service Charges,Transit Revenues,
Hercules,Revenue,Current Service Charges,Quasi-External Transactions,
Hercules,Revenue,Current Service Charges,Other Current Service Charges,10522
Hercules,Revenue,Other Revenues,Sale of Real and Personal Property,
Hercules,Revenue,Other Revenues,Contributions from Non-Government Sources,
Hercules,Revenue,Other Revenues,Other Sources of Revenues,4776652
Hercules,Revenue,Other Revenues,Other Financing Sources,
Hercules,Revenue,Other Revenues,Sale of Bonds,
Hercules,Revenue,Other Revenues,Notes and Other,
Hercules,Total Revenue,Total Functional and General Revenues,Total Functional and General Revenues,33506118
Hermosa Beach,Revenue,Taxes,Secured and Unsecured Property Tax,9547382
Hermosa Beach,Revenue,Taxes,Voter Approved Indebtedness Property Tax,
Hermosa Beach,Revenue,Taxes,Other Property Taxes,2091966
Hermosa Beach,Revenue,Taxes,Sales and Use Taxes,1987312
Hermosa Beach,Revenue,Taxes,Transportation Tax,
Hermosa Beach,Revenue,Taxes,Transient Lodging Taxes,1645571
Hermosa Beach,Revenue,Taxes,Franchises,681138
Hermosa Beach,Revenue,Taxes,Business License Taxes,896309
Hermosa Beach,Revenue,Taxes,Real Property Transfer Taxes,140113
Hermosa Beach,Revenue,Taxes,Utility Users Tax,2575209
Hermosa Beach,Revenue,Taxes,Other Non-Property Taxes,574273
Hermosa Beach,Revenue,Special Benefit Assessments,Fire and Paramedics,
Hermosa Beach,Revenue,Special Benefit Assessments,Police,
Hermosa Beach,Revenue,Special Benefit Assessments,Lighting,
Hermosa Beach,Revenue,Special Benefit Assessments,Other,30630
Hermosa Beach,Revenue,Licenses and Permits,Construction Permits,453422
Hermosa Beach,Revenue,Licenses and Permits,Other Licenses and Permits,475192
Hermosa Beach,Revenue,Fines and Forfeitures,Vehicle Code Fines,332800
Hermosa Beach,Revenue,Fines and Forfeitures,"Other Fines, Forfeitures, and Penalties",1778666
Hermosa Beach,Revenue,Revenue From Use of Money and Property,Investment Earnings,407791
Hermosa Beach,Revenue,Revenue From Use of Money and Property,"Rents, Concessions, Royalties and Other",741561
Hermosa Beach,Revenue,Intergovernmental,State Motor Vehicle In-Lieu Tax,66631
Hermosa Beach,Revenue,Intergovernmental,State Homeowners Property Tax Relief,81009
Hermosa Beach,Revenue,Intergovernmental,State Gasoline Tax,315064
Hermosa Beach,Revenue,Intergovernmental,Other State Grants,591502
Hermosa Beach,Revenue,Intergovernmental,County Grants,139486
Hermosa Beach,Revenue,Intergovernmental,Federal Grants,700584
Hermosa Beach,Revenue,Intergovernmental,Other Taxes In-Lieu,21192
Hermosa Beach,Revenue,Current Service Charges,"Zoning, Subdivision, and Plan Checking Fees",342328
Hermosa Beach,Revenue,Current Service Charges,Special Police Department Services,162750
Hermosa Beach,Revenue,Current Service Charges,Special Fire Department Services and First Aid and Ambulance Charges,424547
Hermosa Beach,Revenue,Current Service Charges,"Engineering Fees, Inspections, and Other",125524
Hermosa Beach,Revenue,Current Service Charges,Sewer Service Charges and Connection Fees,31962
Hermosa Beach,Revenue,Current Service Charges,Solid Waste Revenues,
Hermosa Beach,Revenue,Current Service Charges,Parking Facilities,1022764
Hermosa Beach,Revenue,Current Service Charges,Parks and Recreation Fees,577466
Hermosa Beach,Revenue,Current Service Charges,Golf Course Fees,
Hermosa Beach,Revenue,Current Service Charges,Water Service Charges and Connection Fees,
Hermosa Beach,Revenue,Current Service Charges,Electric Revenues,
Hermosa Beach,Revenue,Current Service Charges,Gas Revenues,
Hermosa Beach,Revenue,Current Service Charges,Airport Revenues,
Hermosa Beach,Revenue,Current Service Charges,Port and Harbor Revenues,
Hermosa Beach,Revenue,Current Service Charges,Hospital Revenues,
Hermosa Beach,Revenue,Current Service Charges,Transit Revenues,5545
Hermosa Beach,Revenue,Current Service Charges,Quasi-External Transactions,
Hermosa Beach,Revenue,Current Service Charges,Other Current Service Charges,2168279
Hermosa Beach,Revenue,Other Revenues,Sale of Real and Personal Property,200
Hermosa Beach,Revenue,Other Revenues,Contributions from Non-Government Sources,126833
Hermosa Beach,Revenue,Other Revenues,Other Sources of Revenues,233275
Hermosa Beach,Revenue,Other Revenues,Other Financing Sources,
Hermosa Beach,Revenue,Other Revenues,Sale of Bonds,
Hermosa Beach,Revenue,Other Revenues,Notes and Other,
Hermosa Beach,Total Revenue,Total Functional and General Revenues,Total Functional and General Revenues,31496276
Hesperia,Revenue,Taxes,Secured and Unsecured Property Tax,544330
Hesperia,Revenue,Taxes,Voter Approved Indebtedness Property Tax,
Hesperia,Revenue,Taxes,Other Property Taxes,8232290
Hesperia,Revenue,Taxes,Sales and Use Taxes,4220224
Hesperia,Revenue,Taxes,Transportation Tax,2869533
Hesperia,Revenue,Taxes,Transient Lodging Taxes,607951
Hesperia,Revenue,Taxes,Franchises,2587274
Hesperia,Revenue,Taxes,Business License Taxes,250726
Hesperia,Revenue,Taxes,Real Property Transfer Taxes,206900
Hesperia,Revenue,Taxes,Utility Users Tax,
Hesperia,Revenue,Taxes,Other Non-Property Taxes,4001588
Hesperia,Revenue,Special Benefit Assessments,Fire and Paramedics,
Hesperia,Revenue,Special Benefit Assessments,Police,
Hesperia,Revenue,Special Benefit Assessments,Lighting,
Hesperia,Revenue,Special Benefit Assessments,Other,
Hesperia,Revenue,Licenses and Permits,Construction Permits,843263
Hesperia,Revenue,Licenses and Permits,Other Licenses and Permits,229947
Hesperia,Revenue,Fines and Forfeitures,Vehicle Code Fines,162315
Hesperia,Revenue,Fines and Forfeitures,"Other Fines, Forfeitures, and Penalties",608571
Hesperia,Revenue,Revenue From Use of Money and Property,Investment Earnings,752009
Hesperia,Revenue,Revenue From Use of Money and Property,"Rents, Concessions, Royalties and Other",
Hesperia,Revenue,Intergovernmental,State Motor Vehicle In-Lieu Tax,311527
Hesperia,Revenue,Intergovernmental,State Homeowners Property Tax Relief,6593
Hesperia,Revenue,Intergovernmental,State Gasoline Tax,1285947
Hesperia,Revenue,Intergovernmental,Other State Grants,4105721
Hesperia,Revenue,Intergovernmental,County Grants,
Hesperia,Revenue,Intergovernmental,Federal Grants,647934
Hesperia,Revenue,Intergovernmental,Other Taxes In-Lieu,
Hesperia,Revenue,Current Service Charges,"Zoning, Subdivision, and Plan Checking Fees",155039
Hesperia,Revenue,Current Service Charges,Special Police Department Services,64969
Hesperia,Revenue,Current Service Charges,Special Fire Department Services and First Aid and Ambulance Charges,
Hesperia,Revenue,Current Service Charges,"Engineering Fees, Inspections, and Other",226836
Hesperia,Revenue,Current Service Charges,Sewer Service Charges and Connection Fees,
Hesperia,Revenue,Current Service Charges,Solid Waste Revenues,
Hesperia,Revenue,Current Service Charges,Parking Facilities,
Hesperia,Revenue,Current Service Charges,Parks and Recreation Fees,
Hesperia,Revenue,Current Service Charges,Golf Course Fees,
Hesperia,Revenue,Current Service Charges,Water Service Charges and Connection Fees,
Hesperia,Revenue,Current Service Charges,Electric Revenues,
Hesperia,Revenue,Current Service Charges,Gas Revenues,
Hesperia,Revenue,Current Service Charges,Airport Revenues,
Hesperia,Revenue,Current Service Charges,Port and Harbor Revenues,
Hesperia,Revenue,Current Service Charges,Hospital Revenues,
Hesperia,Revenue,Current Service Charges,Transit Revenues,
Hesperia,Revenue,Current Service Charges,Quasi-External Transactions,
Hesperia,Revenue,Current Service Charges,Other Current Service Charges,274427
Hesperia,Revenue,Other Revenues,Sale of Real and Personal Property,
Hesperia,Revenue,Other Revenues,Contributions from Non-Government Sources,
Hesperia,Revenue,Other Revenues,Other Sources of Revenues,7150495
Hesperia,Revenue,Other Revenues,Other Financing Sources,
Hesperia,Revenue,Other Revenues,Sale of Bonds,
Hesperia,Revenue,Other Revenues,Notes and Other,
Hesperia,Total Revenue,Total Functional and General Revenues,Total Functional and General Revenues,40346409
Hidden Hills,Revenue,Taxes,Secured and Unsecured Property Tax,680025
Hidden Hills,Revenue,Taxes,Voter Approved Indebtedness Property Tax,
Hidden Hills,Revenue,Taxes,Other Property Taxes,170062
Hidden Hills,Revenue,Taxes,Sales and Use Taxes,10926
Hidden Hills,Revenue,Taxes,Transportation Tax,54950
Hidden Hills,Revenue,Taxes,Transient Lodging Taxes,
Hidden Hills,Revenue,Taxes,Franchises,56756
Hidden Hills,Revenue,Taxes,Business License Taxes,55491
Hidden Hills,Revenue,Taxes,Real Property Transfer Taxes,28568
Hidden Hills,Revenue,Taxes,Utility Users Tax,
Hidden Hills,Revenue,Taxes,Other Non-Property Taxes,4939
Hidden Hills,Revenue,Special Benefit Assessments,Fire and Paramedics,
Hidden Hills,Revenue,Special Benefit Assessments,Police,
Hidden Hills,Revenue,Special Benefit Assessments,Lighting,
Hidden Hills,Revenue,Special Benefit Assessments,Other,
Hidden Hills,Revenue,Licenses and Permits,Construction Permits,
Hidden Hills,Revenue,Licenses and Permits,Other Licenses and Permits,243838
Hidden Hills,Revenue,Fines and Forfeitures,Vehicle Code Fines,13793
Hidden Hills,Revenue,Fines and Forfeitures,"Other Fines, Forfeitures, and Penalties",
Hidden Hills,Revenue,Revenue From Use of Money and Property,Investment Earnings,143070
Hidden Hills,Revenue,Revenue From Use of Money and Property,"Rents, Concessions, Royalties and Other",
Hidden Hills,Revenue,Intergovernmental,State Motor Vehicle In-Lieu Tax,6606
Hidden Hills,Revenue,Intergovernmental,State Homeowners Property Tax Relief,100
Hidden Hills,Revenue,Intergovernmental,State Gasoline Tax,34623
Hidden Hills,Revenue,Intergovernmental,Other State Grants,189787
Hidden Hills,Revenue,Intergovernmental,County Grants,
Hidden Hills,Revenue,Intergovernmental,Federal Grants,
Hidden Hills,Revenue,Intergovernmental,Other Taxes In-Lieu,
Hidden Hills,Revenue,Current Service Charges,"Zoning, Subdivision, and Plan Checking Fees",8919
Hidden Hills,Revenue,Current Service Charges,Special Police Department Services,
Hidden Hills,Revenue,Current Service Charges,Special Fire Department Services and First Aid and Ambulance Charges,
Hidden Hills,Revenue,Current Service Charges,"Engineering Fees, Inspections, and Other",27091
Hidden Hills,Revenue,Current Service Charges,Sewer Service Charges and Connection Fees,
Hidden Hills,Revenue,Current Service Charges,Solid Waste Revenues,13153
Hidden Hills,Revenue,Current Service Charges,Parking Facilities,
Hidden Hills,Revenue,Current Service Charges,Parks and Recreation Fees,33518
Hidden Hills,Revenue,Current Service Charges,Golf Course Fees,
Hidden Hills,Revenue,Current Service Charges,Water Service Charges and Connection Fees,
Hidden Hills,Revenue,Current Service Charges,Electric Revenues,
Hidden Hills,Revenue,Current Service Charges,Gas Revenues,
Hidden Hills,Revenue,Current Service Charges,Airport Revenues,
Hidden Hills,Revenue,Current Service Charges,Port and Harbor Revenues,
Hidden Hills,Revenue,Current Service Charges,Hospital Revenues,
Hidden Hills,Revenue,Current Service Charges,Transit Revenues,
Hidden Hills,Revenue,Current Service Charges,Quasi-External Transactions,
Hidden Hills,Revenue,Current Service Charges,Other Current Service Charges,11010
Hidden Hills,Revenue,Other Revenues,Sale of Real and Personal Property,
Hidden Hills,Revenue,Other Revenues,Contributions from Non-Government Sources,46443
Hidden Hills,Revenue,Other Revenues,Other Sources of Revenues,
Hidden Hills,Revenue,Other Revenues,Other Financing Sources,
Hidden Hills,Revenue,Other Revenues,Sale of Bonds,
Hidden Hills,Revenue,Other Revenues,Notes and Other,
Hidden Hills,Total Revenue,Total Functional and General Revenues,Total Functional and General Revenues,1833668
Highland,Revenue,Taxes,Secured and Unsecured Property Tax,3588637
Highland,Revenue,Taxes,Voter Approved Indebtedness Property Tax,
Highland,Revenue,Taxes,Other Property Taxes,4572274
Highland,Revenue,Taxes,Sales and Use Taxes,1048170
Highland,Revenue,Taxes,Transportation Tax,287727
Highland,Revenue,Taxes,Transient Lodging Taxes,123211
Highland,Revenue,Taxes,Franchises,1497340
Highland,Revenue,Taxes,Business License Taxes,110802
Highland,Revenue,Taxes,Real Property Transfer Taxes,91333
Highland,Revenue,Taxes,Utility Users Tax,
Highland,Revenue,Taxes,Other Non-Property Taxes,1973891
Highland,Revenue,Special Benefit Assessments,Fire and Paramedics,3733252
Highland,Revenue,Special Benefit Assessments,Police,
Highland,Revenue,Special Benefit Assessments,Lighting,374125
Highland,Revenue,Special Benefit Assessments,Other,215890
Highland,Revenue,Licenses and Permits,Construction Permits,269488
Highland,Revenue,Licenses and Permits,Other Licenses and Permits,66163
Highland,Revenue,Fines and Forfeitures,Vehicle Code Fines,186685
Highland,Revenue,Fines and Forfeitures,"Other Fines, Forfeitures, and Penalties",106921
Highland,Revenue,Revenue From Use of Money and Property,Investment Earnings,776228
Highland,Revenue,Revenue From Use of Money and Property,"Rents, Concessions, Royalties and Other",50612
Highland,Revenue,Intergovernmental,State Motor Vehicle In-Lieu Tax,178413
Highland,Revenue,Intergovernmental,State Homeowners Property Tax Relief,33494
Highland,Revenue,Intergovernmental,State Gasoline Tax,846937
Highland,Revenue,Intergovernmental,Other State Grants,822988
Highland,Revenue,Intergovernmental,County Grants,1007128
Highland,Revenue,Intergovernmental,Federal Grants,2184860
Highland,Revenue,Intergovernmental,Other Taxes In-Lieu,
Highland,Revenue,Current Service Charges,"Zoning, Subdivision, and Plan Checking Fees",761722
Highland,Revenue,Current Service Charges,Special Police Department Services,
Highland,Revenue,Current Service Charges,Special Fire Department Services and First Aid and Ambulance Charges,
Highland,Revenue,Current Service Charges,"Engineering Fees, Inspections, and Other",323535
Highland,Revenue,Current Service Charges,Sewer Service Charges and Connection Fees,
Highland,Revenue,Current Service Charges,Solid Waste Revenues,
Highland,Revenue,Current Service Charges,Parking Facilities,
Highland,Revenue,Current Service Charges,Parks and Recreation Fees,
Highland,Revenue,Current Service Charges,Golf Course Fees,
Highland,Revenue,Current Service Charges,Water Service Charges and Connection Fees,
Highland,Revenue,Current Service Charges,Electric Revenues,
Highland,Revenue,Current Service Charges,Gas Revenues,
Highland,Revenue,Current Service Charges,Airport Revenues,
Highland,Revenue,Current Service Charges,Port and Harbor Revenues,
Highland,Revenue,Current Service Charges,Hospital Revenues,
Highland,Revenue,Current Service Charges,Transit Revenues,
Highland,Revenue,Current Service Charges,Quasi-External Transactions,
Highland,Revenue,Current Service Charges,Other Current Service Charges,
Highland,Revenue,Other Revenues,Sale of Real and Personal Property,
Highland,Revenue,Other Revenues,Contributions from Non-Government Sources,
Highland,Revenue,Other Revenues,Other Sources of Revenues,169117
Highland,Revenue,Other Revenues,Other Financing Sources,
Highland,Revenue,Other Revenues,Sale of Bonds,
Highland,Revenue,Other Revenues,Notes and Other,
Highland,Total Revenue,Total Functional and General Revenues,Total Functional and General Revenues,25400943
Hillsborough,Revenue,Taxes,Secured and Unsecured Property Tax,9930076
Hillsborough,Revenue,Taxes,Voter Approved Indebtedness Property Tax,
Hillsborough,Revenue,Taxes,Other Property Taxes,862538
Hillsborough,Revenue,Taxes,Sales and Use Taxes,72419
Hillsborough,Revenue,Taxes,Transportation Tax,394045
Hillsborough,Revenue,Taxes,Transient Lodging Taxes,
Hillsborough,Revenue,Taxes,Franchises,557077
Hillsborough,Revenue,Taxes,Business License Taxes,507247
Hillsborough,Revenue,Taxes,Real Property Transfer Taxes,158142
Hillsborough,Revenue,Taxes,Utility Users Tax,
Hillsborough,Revenue,Taxes,Other Non-Property Taxes,1407879
Hillsborough,Revenue,Special Benefit Assessments,Fire and Paramedics,2342584
Hillsborough,Revenue,Special Benefit Assessments,Police,
Hillsborough,Revenue,Special Benefit Assessments,Lighting,
Hillsborough,Revenue,Special Benefit Assessments,Other,
Hillsborough,Revenue,Licenses and Permits,Construction Permits,832137
Hillsborough,Revenue,Licenses and Permits,Other Licenses and Permits,396260
Hillsborough,Revenue,Fines and Forfeitures,Vehicle Code Fines,
Hillsborough,Revenue,Fines and Forfeitures,"Other Fines, Forfeitures, and Penalties",22927
Hillsborough,Revenue,Revenue From Use of Money and Property,Investment Earnings,682858
Hillsborough,Revenue,Revenue From Use of Money and Property,"Rents, Concessions, Royalties and Other",405098
Hillsborough,Revenue,Intergovernmental,State Motor Vehicle In-Lieu Tax,32394
Hillsborough,Revenue,Intergovernmental,State Homeowners Property Tax Relief,65006
Hillsborough,Revenue,Intergovernmental,State Gasoline Tax,192387
