City,"Population, 2010  ",Area,Population Density (2010),"Mean travel time to work (minutes), workers age 16+, 2006-2010  ","Manufacturers shipments, 2007","Persons under 18 years, percent, 2010  ","Persons below poverty level, percent, 2006-2010  ","Foreign born persons, percent,  2006-2010  ","Bachelor's degree or higher, pct of persons age 25+, 2006-2010  ","Asian persons, percent, 2010 ","Persons 65 years and over, percent,  2010  ","Persons reporting two or more races, percent, 2010  ","Total number of firms, 2007  ","Homeownership rate, 2006-2010  ","Persons under 5 years, percent, 2010  ","Persons per household, 2006-2010  ","Households, 2006-2010  ","Housing units in multi-unit structures, percent, 2006-2010  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ","Women-owned firms, percent, 2007  ","American Indian and Alaska Native persons, percent, 2010 ","Asian-owned firms, percent, 2007  ","Persons of Hispanic or Latino origin, percent, 2010 ","Retail sales, 2007 ","Black-owned firms, percent, 2007  ","Black persons, percent, 2010 ","Housing units, 2010  ","White persons, percent, 2010 ","Population, 2000  ","Retail sales per capita, 2007  ","White persons not Hispanic, percent, 2010  ","Population, 2011 estimate  ","Median value of owner-occupied housing units, 2006-2010  ","Language other than English spoken at home, pct age 5+, 2006-2010  ","Living in same house 1 year & over, 2006-2010  ","Population, percent change, 2000 to 2010  ","Land area in square miles, 2010  ","Native Hawaiian and Other Pacific Islander, percent, 2010 ",Per capita money income in past 12 months (2010 dollars) 2006-2010 ,"Female persons, percent, 2010  ","Accommodation and food services sales, 2007","High school graduates, percent of persons age 25+, 2006-2010  ",Median household income 2006-2010  ,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Temple City,35558,4.01,8867.331671,30.6,NA,0.212,0.071,0.454,0.36,0.557,0.151,0.029,4844,0.643,0.045,3.09,11266,0.112,8876.2,112205000,0.288,0.004,0.601,0.193,180602000,S,0.008,12117,0.336,33377,4826,0.228,NA,582100,0.618,0.889,0.065,4.01,0.001,26587,0.525,40013000,0.865,65668,61,0,8,17,36,430,140,254,36,0
Thousand Oaks,126683,55.03,2302.071597,25,1113897000,0.237,0.051,0.191,0.482,0.087,0.147,0.038,18106,0.748,0.052,2.78,44392,0.18,2302,1461966000,S,0.004,0.063,0.168,2853839000,0.009,0.013,47497,0.803,117005,23341,0.702,NA,673500,0.231,0.881,0.083,55.03,0.001,44775,0.511,347890000,0.937,98713,139,1,16,50,72,2036,358,1606,72,9
Torrance,145438,20.48,7101.464844,26.4,5621252000,0.219,0.063,0.305,0.446,0.345,0.149,0.055,17452,0.573,0.052,2.57,55576,0.393,7102.2,13175366000,0.275,0.004,0.328,0.161,4877835000,0.019,0.027,58377,0.511,137946,35000,0.423,NA,657700,0.391,0.879,0.054,20.48,0.004,36007,0.514,503197000,0.924,74163,290,4,19,152,115,2859,516,2008,335,21
Tracy,82922,22,3769.181818,41.4,1062971000,0.322,0.104,0.248,0.217,0.147,0.069,0.077,5979,0.697,0.08,3.36,23605,0.134,3768.7,1101040000,0.323,0.009,0.221,0.369,1105980000,S,0.072,25963,0.527,56929,14023,0.362,NA,386800,0.395,0.804,0.457,22,0.009,26956,0.504,101465000,0.855,76753,135,4,9,57,65,2105,334,1526,245,15
Tulare,59278,20.93,2832.20258,18.7,1165178000,0.333,0.191,0.216,0.111,0.022,0.09,0.048,3000,0.598,0.094,3.33,17047,0.165,2832.1,182294000,0.268,0.012,S,0.575,662354000,0.027,0.039,18863,0.613,43994,12146,0.347,NA,208500,0.434,0.867,0.347,20.93,0.001,17734,0.509,59664000,0.718,46647,390,5,21,75,289,2613,527,1645,441,8
Turlock,68549,16.93,4048.966332,22.4,1604971000,0.275,0.141,0.249,0.239,0.056,0.117,0.05,4062,0.561,0.075,2.89,22932,0.221,4049.4,265935000,0.264,0.009,S,0.364,987234000,S,0.017,24627,0.698,55810,14565,0.528,NA,294100,0.421,0.811,0.228,16.93,0.005,22444,0.513,105452000,0.789,50573,466,1,21,124,320,2881,686,1730,465,37
Tustin,75540,11.08,6817.689531,22.2,1654123000,0.268,0.096,0.347,0.386,0.203,0.085,0.047,9052,0.528,0.076,2.96,24839,0.482,6816.5,1343421000,0.3,0.006,0.191,0.397,1849885000,S,0.023,26476,0.526,67504,26452,0.348,NA,573100,0.515,0.813,0.119,11.08,0.004,32949,0.514,176379000,0.845,73170,128,1,9,56,62,1567,237,1186,144,14
Twentynine Palms,25048,59.14,423.537369,14.1,NA,0.256,0.142,0.061,0.165,0.039,0.058,0.069,881,0.387,0.111,2.68,7917,0.293,423.5,4064000,S,0.013,S,0.208,93806000,S,0.082,9431,0.716,14764,2837,0.608,NA,173100,0.146,0.603,0.697,59.14,0.014,20693,0.437,23840000,0.884,42027,119,1,15,18,85,517,135,337,45,12
Ukiah,16075,4.67,3442.184154,14.1,NA,0.248,0.155,0.125,0.185,0.026,0.145,0.055,1934,0.447,0.073,2.51,6223,0.314,3442.2,70839000,0.396,0.037,S,0.277,526585000,F,0.011,6488,0.721,15497,35370,0.629,NA,339600,0.244,0.868,0.037,4.67,0.002,20738,0.519,43433000,0.817,42657,92,0,12,10,70,466,156,291,19,6
Union City,69516,19.47,3570.416025,30,1087988000,0.242,0.073,0.463,0.375,0.509,0.111,0.067,4820,0.727,0.068,3.4,19805,0.178,3570.6,2905403000,0.275,0.005,S,0.229,665297000,0.079,0.063,21258,0.239,66869,9592,0.144,NA,569300,0.624,0.907,0.04,19.47,0.013,29767,0.506,90570000,0.857,83629,324,4,8,138,174,1810,465,1084,261,11
Upland,73732,15.62,4720.358515,27.9,210656000,0.245,0.089,0.193,0.289,0.084,0.121,0.048,7318,0.594,0.062,2.91,25229,0.331,4721.3,188442000,S,0.007,0.102,0.38,918754000,S,0.073,27355,0.656,68393,12785,0.442,NA,479500,0.328,0.842,0.078,15.62,0.002,29694,0.518,107205000,0.882,67567,208,2,9,86,111,2358,495,1509,354,2
Vacaville,92428,28.37,3257.948537,27.6,1054702000,0.233,0.07,0.118,0.21,0.061,0.105,0.07,S,0.665,0.06,2.76,29996,0.217,3257.6,D,S,0.009,S,0.229,1430458000,S,0.103,32814,0.663,88625,15628,0.55,NA,377900,0.196,0.831,0.043,28.37,0.006,28512,0.471,154281000,0.854,70838,272,3,27,71,171,1866,322,1370,174,30
Vallejo,115942,30.67,3780.306488,32.7,NA,0.232,0.139,0.271,0.247,0.249,0.121,0.075,7876,0.621,0.065,2.85,40281,0.268,3780.2,398711000,0.311,0.007,0.24,0.226,1192772000,0.143,0.221,44433,0.328,116760,10386,0.25,NA,355300,0.383,0.828,-0.007,30.67,0.011,26575,0.515,145605000,0.847,61481,822,17,59,458,288,5101,2249,1675,1177,35
Victorville,115903,73.18,1583.807051,34.1,501830000,0.328,0.194,0.167,0.125,0.04,0.081,0.063,8084,0.649,0.089,3.44,30427,0.15,1583.9,169866000,0.354,0.014,S,0.478,1939517000,0.148,0.168,36655,0.485,64029,18304,0.283,NA,227300,0.345,0.782,0.81,73.18,0.004,17907,0.499,181981000,0.789,53566,681,6,38,256,381,3674,1274,1964,436,26
Villa Park,5812,2.08,2794.230769,21.6,NA,0.2,0.023,0.171,0.505,0.147,0.243,0.029,956,0.956,0.031,3.09,1880,0.004,2796.9,15526000,S,0.006,0.149,0.103,26726000,F,0.007,2016,0.783,5999,4539,0.719,NA,1000001,0.232,0.957,-0.031,2.08,Z,69208,0.507,1460000,0.961,146776,6,0,0,1,5,69,20,48,1,0
Visalia,124442,36.25,3432.882759,19.5,617388000,0.301,0.156,0.138,0.209,0.054,0.103,0.046,9432,0.623,0.086,3.01,38989,0.18,3433.3,1566085000,0.301,0.014,S,0.46,1942971000,0.004,0.021,44205,0.645,91565,16625,0.443,NA,231900,0.281,0.852,0.359,36.25,0.001,23458,0.512,187149000,0.805,53606,578,6,26,176,370,5334,1237,3497,600,8
Vista,93834,18.68,5023.233405,26.4,2730734000,0.267,0.138,0.264,0.205,0.042,0.092,0.053,7884,0.531,0.08,3.11,28364,0.357,5023.8,1694824000,0.273,0.012,0.056,0.484,1246642000,S,0.033,30986,0.635,89857,13926,0.408,NA,421700,0.441,0.811,0.044,18.68,0.007,21645,0.498,102975000,0.745,52602,405,5,21,112,267,2110,463,1260,387,22
Walnut,29172,8.99,3244.938821,37.1,NA,0.209,0.049,0.468,0.474,0.636,0.122,0.035,4158,0.895,0.035,3.48,8420,0.039,3244.2,611532000,S,0.002,0.609,0.191,209670000,0.012,0.028,8753,0.237,30004,6888,0.125,NA,650900,0.635,0.928,-0.028,8.99,0.001,33596,0.51,32778000,0.922,100182,29,0,3,4,22,447,159,248,40,2
Walnut Creek,64173,19.76,3247.621457,28.7,531937000,0.167,0.044,0.202,0.584,0.125,0.266,0.042,9620,0.693,0.041,2.08,30310,0.464,3248.1,583017000,S,0.002,0.134,0.086,1918437000,0.017,0.016,32681,0.787,64296,30585,0.735,NA,622900,0.222,0.847,-0.002,19.76,0.002,51307,0.537,258789000,0.968,80734,115,1,5,38,71,2372,436,1783,153,5
Wasco,25545,9.43,2708.907741,23.7,NA,0.288,0.263,0.286,0.046,0.007,0.051,0.032,679,0.547,0.086,3.78,5134,0.172,2710.1,12662000,S,0.011,S,0.767,82421000,S,0.076,5477,0.492,21263,3431,0.144,NA,174000,0.669,0.685,0.201,9.43,Z,11799,0.384,D,0.569,40054,null,null,null,null,null,null,null,null,null,null
Waterford,8456,2.33,3629.184549,31.6,NA,0.329,0.213,0.158,0.102,0.015,0.072,0.046,S,0.674,0.088,3.65,2277,0.179,3632.3,D,S,0.013,S,0.423,30264000,S,0.009,2665,0.71,6924,3420,0.524,NA,239100,0.352,0.762,0.221,2.33,0.001,16018,0.492,2368000,0.638,53413,40,2,1,6,31,265,52,173,40,0
Watsonville,51199,6.69,7653.064275,23.4,459371000,0.315,0.187,0.419,0.102,0.033,0.083,0.044,3110,0.474,0.095,3.56,13805,0.306,7656.5,1081908000,0.326,0.012,0.075,0.814,1540445000,S,0.007,14089,0.437,44265,31174,0.137,NA,445900,0.74,0.856,0.157,6.69,0.001,16227,0.502,69389000,0.525,46675,327,1,13,98,215,1539,271,1091,177,14
West Covina,106098,16.04,6614.588529,32.3,NA,0.246,0.087,0.345,0.259,0.258,0.121,0.044,8481,0.659,0.06,3.37,31053,0.247,6614.2,100195000,0.317,0.01,0.333,0.532,1563918000,0.039,0.045,32705,0.428,105080,14921,0.153,NA,465400,0.563,0.87,0.01,16.04,0.002,25303,0.518,177546000,0.827,69587,318,0,19,120,179,2979,531,1854,594,2
West Hollywood,34399,1.89,18200.5291,27.2,NA,0.046,0.132,0.321,0.554,0.054,0.149,0.036,10641,0.231,0.019,1.5,22833,0.876,18229.5,369928000,0.31,0.003,0.077,0.105,1285669000,S,0.032,24588,0.842,35716,36134,0.779,NA,656000,0.363,0.812,-0.037,1.89,0.001,51314,0.438,423701000,0.957,52009,389,6,12,154,217,1545,288,1124,133,8
West Sacramento,48744,21.43,2274.568362,22.2,587998000,0.267,0.166,0.219,0.235,0.105,0.098,0.077,3506,0.604,0.084,2.71,16907,0.238,2275.1,5685714000,0.201,0.016,0.171,0.314,523610000,S,0.048,18681,0.606,31615,11386,0.474,NA,293900,0.364,0.8,0.542,21.43,0.011,24695,0.506,D,0.818,53559,172,1,27,65,79,1345,304,863,178,19
Westlake Village,8270,5.19,1593.44894,27.3,NA,0.21,0.034,0.153,0.573,0.059,0.212,0.026,2115,0.838,0.036,2.56,3189,0.077,1595,1615147000,0.18,0.001,0.059,0.064,313612000,S,0.012,3384,0.886,8368,37406,0.839,NA,825700,0.19,0.877,-0.012,5.19,0.002,63206,0.513,41469000,0.972,116213,6,1,0,2,3,143,48,92,3,0
Westminster,89701,10.05,8925.472637,26.4,195317000,0.233,0.129,0.457,0.199,0.475,0.143,0.036,11561,0.558,0.059,3.32,26680,0.273,8926.4,229800000,0.353,0.004,0.542,0.236,1625568000,S,0.009,27650,0.357,88207,18515,0.256,NA,529900,0.638,0.863,0.017,10.05,0.004,22518,0.506,139285000,0.742,57892,259,2,17,102,138,2539,419,1848,272,10
Whittier,85331,14.65,5824.641638,28.6,214256000,0.254,0.092,0.204,0.231,0.038,0.117,0.044,6616,0.572,0.067,3.03,27583,0.3,5825,157130000,0.272,0.013,0.079,0.657,815031000,0.013,0.013,29591,0.646,83680,9985,0.283,NA,512400,0.434,0.872,0.02,14.65,0.001,26943,0.515,144034000,0.822,65308,343,2,20,96,225,2433,413,1734,286,9
Wildomar,32176,23.69,1358.210215,37.4,NA,0.279,0.108,0.181,0.177,0.045,0.106,0.053,2057,0.775,0.071,3.23,9496,0.047,1358.3,D,S,0.012,S,0.353,126654000,F,0.033,10806,0.695,14064,5643,0.536,NA,313400,0.306,0.824,1.288,23.69,0.002,24292,0.506,12992000,0.829,63699,59,0,11,15,33,703,188,365,150,2
Williams,5123,5.44,941.7279412,22.4,NA,0.332,0.134,0.424,0.086,0.018,0.083,0.035,F,0.572,0.103,3.44,1213,0.204,941,NA,F,0.011,F,0.76,NA,F,0.012,1487,0.544,3670,NA,0.198,NA,201400,0.681,0.739,0.396,5.44,0.001,14483,0.479,NA,0.524,43185,15,0,0,2,13,93,22,58,13,2
Willows,6166,2.85,2163.508772,18.2,NA,0.289,0.222,0.139,0.177,0.051,0.127,0.036,492,0.574,0.089,2.54,2442,0.267,2165.8,33326000,S,0.022,F,0.328,80099000,F,0.013,2399,0.698,6220,12890,0.577,NA,242800,0.291,0.78,-0.009,2.85,0.002,20282,0.506,21905000,0.746,42787,21,0,4,6,11,176,36,134,6,0
Winters,6624,2.91,2276.28866,25.8,NA,0.258,0.092,0.233,0.211,0.01,0.091,0.05,376,0.637,0.063,3.13,2097,0.168,2274.7,D,S,0.008,F,0.524,14278000,F,0.006,2299,0.7,6125,2064,0.438,NA,349300,0.43,0.893,0.081,2.91,0.001,25342,0.494,D,0.766,59679,6,0,3,0,3,169,58,99,12,0
Woodlake,7279,2.25,3235.111111,25.4,NA,0.361,0.282,0.381,0.04,0.007,0.073,0.043,S,0.5,0.106,3.9,1842,0.215,3238,D,S,0.015,S,0.877,15076000,S,0.005,2067,0.507,6651,2110,0.102,NA,136600,0.775,0.822,0.094,2.25,0.001,10216,0.494,1029000,0.488,29417,18,1,2,3,12,195,35,144,16,1
Woodland,55468,15.3,3625.359477,20.3,841224000,0.275,0.112,0.212,0.226,0.062,0.109,0.052,4194,0.576,0.079,2.78,19314,0.284,3624.6,528761000,0.314,0.013,0.066,0.474,585997000,0.019,0.015,19806,0.629,49151,11028,0.421,NA,352100,0.391,0.804,0.129,15.3,0.003,25616,0.508,D,0.778,55406,161,1,17,39,104,1513,352,993,168,19
Yorba Linda,64234,19.48,3297.433265,30.8,713091000,0.246,0.023,0.178,0.463,0.156,0.118,0.04,6778,0.842,0.048,2.98,21116,0.099,3296.9,1021058000,0.274,0.004,0.167,0.144,578013000,F,0.013,22305,0.751,58918,8964,0.657,NA,765800,0.24,0.895,0.09,19.48,0.001,49400,0.513,78638000,0.952,115279,58,0,3,9,46,804,150,621,33,2
Yreka,7765,9.98,778.0561122,13.9,NA,0.241,0.23,0.037,0.198,0.012,0.192,0.058,1019,0.524,0.076,2.24,3360,0.302,778.1,D,0.3,0.063,F,0.097,186954000,F,0.007,3675,0.836,7290,25554,0.783,NA,205100,0.072,0.802,0.065,9.98,0.001,21183,0.528,20785000,0.899,33810,54,0,2,2,50,263,69,176,18,2
Yuba City,64925,14.58,4453.017833,27.5,421761000,0.282,0.143,0.242,0.191,0.172,0.117,0.059,4460,0.58,0.081,2.95,21405,0.266,4453.6,199337000,0.282,0.014,S,0.284,983712000,S,0.025,23174,0.576,36758,16144,0.474,NA,254300,0.38,0.805,0.766,14.58,0.004,21389,0.505,90742000,0.785,49500,216,2,22,51,141,1783,409,1222,152,11
Yucaipa,51367,27.89,1841.771244,28.9,NA,0.262,0.104,0.108,0.214,0.028,0.133,0.041,4246,0.777,0.066,2.86,17343,0.064,1841.9,33686000,0.358,0.009,S,0.271,229546000,S,0.016,19642,0.795,41207,4604,0.659,NA,299400,0.176,0.856,0.247,27.89,0.001,26750,0.508,35033000,0.878,57492,139,0,10,31,98,805,233,464,108,9
