City,"Population, 2010  ",Area,Population Density (2010),"Mean travel time to work (minutes), workers age 16+, 2006-2010  ","Manufacturers shipments, 2007","Persons under 18 years, percent, 2010  ","Persons below poverty level, percent, 2006-2010  ","Foreign born persons, percent,  2006-2010  ","Bachelor's degree or higher, pct of persons age 25+, 2006-2010  ","Asian persons, percent, 2010 ","Persons 65 years and over, percent,  2010  ","Persons reporting two or more races, percent, 2010  ","Total number of firms, 2007  ","Homeownership rate, 2006-2010  ","Persons under 5 years, percent, 2010  ","Persons per household, 2006-2010  ","Households, 2006-2010  ","Housing units in multi-unit structures, percent, 2006-2010  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ","Women-owned firms, percent, 2007  ","American Indian and Alaska Native persons, percent, 2010 ","Asian-owned firms, percent, 2007  ","Persons of Hispanic or Latino origin, percent, 2010 ","Retail sales, 2007 ","Black-owned firms, percent, 2007  ","Black persons, percent, 2010 ","Housing units, 2010  ","White persons, percent, 2010 ","Population, 2000  ","Retail sales per capita, 2007  ","White persons not Hispanic, percent, 2010  ","Population, 2011 estimate  ","Median value of owner-occupied housing units, 2006-2010  ","Language other than English spoken at home, pct age 5+, 2006-2010  ","Living in same house 1 year & over, 2006-2010  ","Population, percent change, 2000 to 2010  ","Land area in square miles, 2010  ","Native Hawaiian and Other Pacific Islander, percent, 2010 ",Per capita money income in past 12 months (2010 dollars) 2006-2010 ,"Female persons, percent, 2010  ","Accommodation and food services sales, 2007","High school graduates, percent of persons age 25+, 2006-2010  ",Median household income 2006-2010  ,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Rancho Cordova,64776,33.51,1933.034915,24.1,1016225000,0.263,0.163,0.257,0.222,0.121,0.102,0.07,4264,0.57,0.083,2.75,22929,0.308,1933.2,453791000,S,0.01,S,0.197,543864000,0.047,0.101,25479,0.604,55060,9032,0.523,NA,265800,0.356,0.756,0.176,33.51,0.009,24373,0.511,95508000,0.849,52521,387,4,13,159,211,2293,657,1349,287,7
Rancho Cucamonga,165269,39.85,4147.27729,30.1,3182443000,0.257,0.048,0.17,0.291,0.104,0.079,0.054,15524,0.676,0.062,2.98,52689,0.287,4147.2,3078312000,S,0.007,0.135,0.349,1803629000,0.075,0.092,56618,0.62,127743,10699,0.427,NA,449800,0.3,0.825,0.294,39.85,0.003,32285,0.506,341021000,0.906,78572,340,2,14,111,213,3703,879,2505,319,13
Rancho Mirage,17218,24.45,704.2126789,24.3,NA,0.106,0.106,0.135,0.391,0.038,0.44,0.02,2662,0.84,0.025,1.96,8499,0.104,704.3,2328000,S,0.005,S,0.114,437771000,F,0.015,14243,0.887,13249,26530,0.817,NA,600200,0.159,0.854,0.3,24.45,0.001,69198,0.506,238495000,0.95,74327,17,0,3,7,7,555,197,332,26,1
Rancho Palos Verdes,41643,13.46,3093.833581,32.5,NA,0.222,0.039,0.29,0.647,0.29,0.232,0.048,5452,0.803,0.037,2.74,15044,0.162,3092.7,123830000,S,0.002,0.214,0.085,112589000,0.023,0.024,16179,0.617,41145,2765,0.56,NA,1000001,0.359,0.899,0.012,13.47,0.001,57181,0.515,D,0.972,114668,42,0,8,5,29,422,160,244,18,0
Rancho Santa Margarita,47853,12,3987.75,27.5,544760000,0.29,0.035,0.155,0.483,0.091,0.057,0.047,5037,0.731,0.063,2.94,16179,0.253,3693.2,345442000,0.404,0.004,S,0.186,608441000,0.008,0.019,17260,0.782,47214,12502,0.67,NA,603900,0.199,0.868,0.014,12.96,0.002,40438,0.511,86070000,0.958,99722,,,,,,,,,,
Red Bluff,14076,7.56,1861.904762,18.8,NA,0.281,0.265,0.096,0.104,0.013,0.133,0.055,1529,0.431,0.089,2.46,5270,0.296,1861.2,15534000,0.368,0.031,S,0.216,358697000,F,0.009,5872,0.807,13147,25994,0.709,NA,206300,0.217,0.727,0.071,7.56,0.001,17529,0.52,36277000,0.81,32782,142,0,14,14,114,900,292,578,30,5
Redding,89861,59.65,1506.471081,16.8,172090000,0.228,0.173,0.053,0.233,0.034,0.164,0.046,8003,0.57,0.063,2.47,35400,0.256,1506.5,724228000,0.257,0.023,S,0.087,1953859000,F,0.012,38679,0.858,80865,21840,0.813,NA,271900,0.088,0.806,0.111,59.65,0.002,23673,0.516,220644000,0.898,43550,793,2,61,105,625,3037,849,1946,242,11
Redlands,68747,36.13,1902.767783,22.3,194349000,0.237,0.101,0.15,0.371,0.076,0.131,0.049,6680,0.628,0.06,2.73,24165,0.275,1903,174675000,S,0.009,0.124,0.303,1581131000,0.037,0.052,26634,0.69,63591,22785,0.54,NA,370600,0.233,0.831,0.081,36.13,0.003,31488,0.524,160503000,0.892,67651,243,2,25,104,112,2536,587,1706,243,18
Redondo Beach,66748,6.2,10765.80645,27.2,D,0.193,0.055,0.186,0.57,0.12,0.105,0.058,10167,0.508,0.063,2.31,28540,0.459,10769.3,102168000,0.313,0.004,0.123,0.152,815718000,0.048,0.028,30609,0.746,63261,12365,0.652,NA,767800,0.229,0.841,0.055,6.2,0.003,50291,0.502,196196000,0.96,91737,210,1,1,68,140,1557,216,1238,103,2
Redwood City,76815,19.42,3955.45829,23.1,985315000,0.237,0.096,0.322,0.397,0.107,0.106,0.055,8369,0.532,0.075,2.65,27801,0.362,3955.5,1189731000,0.291,0.007,S,0.388,1613730000,0.011,0.024,29167,0.602,75402,22224,0.44,NA,808600,0.454,0.84,0.019,19.42,0.01,39245,0.502,214456000,0.853,75231,174,3,16,69,86,1641,461,988,192,3
