City,American Indian- and Alaska Native-owned firms percent 2007  ,Mean travel time to work (minutes) workers age 16+ 2006-2010  ,Manufacturers shipments 2007 (1000)  ,Persons under 18 years percent 2010  ,Persons below poverty level percent 2006-2010  ,Foreign born persons percent  2006-2010  ,Native Hawaiian and Other Pacific Islander-owned firms percent 2007  ,Bachelor's degree or higher pct of persons age 25+ 2006-2010  ,Asian persons percent 2010 (a)  ,Persons 65 years and over percent  2010  ,Hispanic-owned firms percent 2007  ,Population 2010  ,Persons reporting two or more races percent 2010  ,Total number of firms 2007  ,Homeownership rate 2006-2010  ,Persons under 5 years percent 2010  ,Persons per household 2006-2010  ,FIPS Code  ,Households 2006-2010  ,Housing units in multi-unit structures percent 2006-2010  ,Persons per square mile 2010  ,Merchant wholesaler sales 2007 (1000)  ,Women-owned firms percent 2007  ,American Indian and Alaska Native persons percent 2010 (a)  ,Asian-owned firms percent 2007  ,Persons of Hispanic or Latino origin percent 2010 (b)  ,Retail sales 2007 (1000)  ,Black-owned firms percent 2007  ,Black persons percent 2010 (a)  ,Housing units 2010  ,White persons percent 2010 (a)  ,Population 2000  ,Retail sales per capita 2007  ,White persons not Hispanic percent 2010  ,Population 2011 estimate  ,Median value of owner-occupied housing units 2006-2010  ,Language other than English spoken at home pct age 5+ 2006-2010  ,Living in same house 1 year &amp; over 2006-2010  ,Population percent change 2000 to 2010  ,Land area in square miles 2010  ,Native Hawaiian and Other Pacific Islander percent 2010 (a)  ,Per capita money income in past 12 months (2010 dollars) 2006-2010  ,Female persons percent 2010  ,Accommodation and food services sales 2007 (1000)  ,High school graduates percent of persons age 25+ 2006-2010  ,Median household income 2006-2010  
Morgantown ,F,15.7,NA,0.082,0.375,0.047,F,0.458,0.034,0.081,F,29660,0.02,2705,0.414,0.027,2.28,55756,9400,0.494,2917,53302000,0.249,0.001,0.04,0.026,743252000,0.032,0.041,12664,0.897,26809,25360,0.879,NA,157600,0.064,0.591,0.106,10.17,0.001,17122,0.465,118207000,0.903,25495
Elkins ,F,15,NA,0.209,0.211,0.036,F,0.26,0.008,0.176,F,7094,0.012,986,0.645,0.061,2.22,24580,2807,0.241,2070,334119000,0.252,0.002,F,0.011,259681000,F,0.012,3421,0.965,7032,37066,0.957,NA,94400,0.053,0.794,0.009,3.43,0,19486,0.52,19111000,0.844,34705
Beckley ,F,17.6,NA,0.202,0.25,0.033,F,0.224,0.024,0.179,F,17614,0.032,2111,0.669,0.063,2.2,5332,7622,0.191,1856.1,163315000,0.249,0.003,S,0.015,589465000,0.046,0.212,8839,0.723,17254,35499,0.717,NA,95400,0.051,0.853,0.021,9.49,Z,22122,0.534,85605000,0.826,31480
Bridgeport ,F,20.9,D,0.219,0.05,0.022,F,0.367,0.019,0.188,0.015,8149,0.011,1684,0.783,0.049,2.46,10180,3206,0.158,775,62589000,0.223,0.002,F,0.017,350497000,F,0.011,3678,0.955,7306,45319,0.941,NA,181500,0.04,0.868,0.115,10.52,0,33759,0.523,42610000,0.947,66318
Oak Hill ,F,25.1,NA,0.212,0.22,0.006,F,0.135,0.002,0.19,F,7730,0.016,555,0.704,0.065,2.18,60028,3509,0.11,1582.7,D,S,0.003,S,0.012,113957000,F,0.043,3703,0.933,7589,15845,0.925,NA,74500,0.005,0.814,0.019,4.88,Z,18599,0.532,13701000,0.78,31835
Pea Ridge ,S,17.6,NA,0.181,0.069,0.035,S,0.358,0.025,0.197,S,6650,0.014,S,0.648,0.051,2.31,62488,2990,0.303,2903.9,D,S,Z,S,0.012,9857000,S,0.023,3325,0.935,6363,NA,0.927,NA,135900,0.036,0.855,0.045,2.29,Z,30402,0.528,D,0.902,52177
Weirton ,F,23.5,1184198000,0.194,0.14,0.015,F,0.19,0.005,0.206,F,19746,0.016,1411,0.701,0.055,2.26,85156,8752,0.194,1093.7,128120000,0.251,0.001,S,0.01,227724000,F,0.039,9645,0.937,20411,12145,0.93,NA,86500,0.039,0.855,-0.033,18.05,Z,24217,0.527,38064000,0.905,39699
Buckhannon ,F,18.3,141893000,0.161,0.233,0.02,F,0.257,0.009,0.171,F,5639,0.019,1404,0.588,0.05,2.25,11188,1869,0.198,1991.9,D,0.246,0.002,F,0.025,180017000,F,0.021,2398,0.945,5725,32724,0.928,NA,103500,0.039,0.743,-0.015,2.83,0,19054,0.525,18594000,0.778,34425
New Martinsville ,F,20.3,D,0.205,0.177,0.001,F,0.19,0.006,0.217,F,5366,0.006,706,0.788,0.049,2.29,58684,2371,0.187,2007.5,D,S,0.001,F,0.006,191173000,F,0.002,2632,0.982,5984,34156,0.979,NA,91500,0,0.89,-0.103,2.67,0,22046,0.528,20005000,0.853,36282
Madison ,0.002,18.7,2418297000,0.175,0.179,0.102,F,0.522,0.074,0.096,0.017,233209,0.031,18693,0.522,0.058,2.22,48000,98216,0.501,3037,2321341000,0.291,0.004,0.029,0.068,4103644000,0.036,0.073,108843,0.789,208054,17937,0.757,NA,220200,0.148,0.715,0.121,76.79,Z,29782,0.508,595323000,0.941,52550
