City,State,"American Indian- and Alaska Native-owned firms, percent, 2007  ","Mean travel time to work (minutes), workers age 16+, 2006-2010  ","Manufacturers shipments, 2007 ($1000)  ","Persons under 18 years, percent, 2010  ","Persons below poverty level, percent, 2006-2010  ","Foreign born persons, percent,  2006-2010  ","Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007  ","Bachelor's degree or higher, pct of persons age 25+, 2006-2010  ","Asian persons, percent, 2010 (a)  ","Persons 65 years and over, percent,  2010  ","Hispanic-owned firms, percent, 2007  ","Population, 2010  ","Persons reporting two or more races, percent, 2010  ","Total number of firms, 2007  ","Homeownership rate, 2006-2010  ","Persons under 5 years, percent, 2010  ","Persons per household, 2006-2010  ",FIPS Code  ,"Households, 2006-2010  ","Housing units in multi-unit structures, percent, 2006-2010  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ($1000)  ","Women-owned firms, percent, 2007  ","American Indian and Alaska Native persons, percent, 2010 (a)  ","Asian-owned firms, percent, 2007  ","Persons of Hispanic or Latino origin, percent, 2010 (b)  ","Retail sales, 2007 ($1000)  ","Black-owned firms, percent, 2007  ","Black persons, percent, 2010 (a)  ","Housing units, 2010  ","White persons, percent, 2010 (a)  ","Population, 2000  ","Retail sales per capita, 2007  ","White persons not Hispanic, percent, 2010  ","Population, 2011 estimate  ","Median value of owner-occupied housing units, 2006-2010  ","Language other than English spoken at home, pct age 5+, 2006-2010  ","Living in same house 1 year &amp; over, 2006-2010  ","Population, percent change, 2000 to 2010  ","Land area in square miles, 2010  ","Native Hawaiian and Other Pacific Islander, percent, 2010 (a)  ",Per capita money income in past 12 months (2010 dollars) 2006-2010  ,"Female persons, percent, 2010  ","Accommodation and food services sales, 2007 ($1000)  ","High school graduates, percent of persons age 25+, 2006-2010  ",Median household income 2006-2010  
Boone ,Iowa,F,18.9,119293000,0.235,0.15,0.013,F,0.182,0.004,0.162,F,"12,661",0.013,"1,042",0.695,0.069,2.36,7480,"5,354",0.25,"1,403.80",44111000,0.162,0.003,F,0.02,186430000,F,0.008,"5,917",0.967,"12,803","$14,818 ",0.955,NA,"$107,800 ",0.027,0.853,-0.011,9.02,Z,"$22,730 ",0.511,12805000,0.916,"$44,652 "
Nevada ,Iowa,F,17.8,284140000,0.253,0.076,0.027,F,0.262,0.01,0.14,F,"6,798",0.015,942,0.739,0.078,2.31,55695,"2,879",0.214,"1,343.50",25426000,S,0.003,F,0.034,54262000,F,0.013,"2,990",0.943,"6,658","$8,217 ",0.929,NA,"$118,600 ",0.061,0.835,0.021,5.06,Z,"$26,564 ",0.514,3957000,0.912,"$52,215 "
Marion ,Iowa,F,20.4,121653000,0.265,0.063,0.031,F,0.338,0.016,0.131,F,"34,768",0.019,"2,208",0.727,0.075,2.42,49485,"13,712",0.244,"2,166.20",242133000,0.32,0.003,F,0.02,384164000,F,0.02,"15,064",0.937,"26,294","$11,974 ",0.926,NA,"$139,500 ",0.043,0.831,0.322,16.05,Z,"$29,085 ",0.517,28865000,0.951,"$57,797 "
Pella ,Iowa,F,11.4,D,0.223,0.07,0.033,F,0.388,0.023,0.164,F,"10,352",0.014,999,0.644,0.064,2.5,62040,"3,664",0.263,"1,186.10",78868000,S,0.002,F,0.017,156830000,F,0.007,"4,086",0.95,"9,832","$15,351 ",0.94,NA,"$160,700 ",0.05,0.774,0.053,8.73,Z,"$26,399 ",0.523,16038000,0.925,"$58,486 "
Council Bluffs ,Iowa,S,18,D,0.241,0.152,0.045,F,0.151,0.007,0.135,0.02,"62,230",0.024,"4,102",0.643,0.073,2.43,16860,"24,317",0.268,"1,518.80",1984807000,0.215,0.006,S,0.085,1294835000,S,0.019,"26,594",0.909,"58,268","$21,601 ",0.869,NA,"$110,500 ",0.076,0.776,0.068,40.97,Z,"$20,893 ",0.513,431929000,0.861,"$42,333 "
De Witt ,Iowa,F,21.3,204462000,0.253,0.046,0,F,0.224,0.004,0.172,F,"5,322",0.015,473,0.757,0.065,2.27,21180,"2,332",0.195,890.1,D,S,0.001,F,0.019,107623000,F,0.008,"2,306",0.971,"5,049","$20,527 ",0.957,NA,"$133,700 ",0.009,0.879,0.054,5.98,Z,"$25,702 ",0.526,6016000,0.943,"$49,295 "
Independence ,Iowa,F,19.1,NA,0.239,0.157,0.009,F,0.268,0.007,0.197,F,"5,966",0.011,536,0.729,0.066,2.3,38100,"2,471",0.173,982.1,30759000,S,0.001,F,0.012,122533000,F,0.003,"2,745",0.976,"6,014","$20,097 ",0.969,NA,"$109,100 ",0.018,0.847,-0.008,6.08,0,"$24,356 ",0.532,9262000,0.914,"$46,589 "
Davenport ,Iowa,0.005,17.1,4016547000,0.24,0.177,0.043,F,0.256,0.022,0.126,0.02,"99,685",0.039,"8,077",0.64,0.073,2.34,19000,"40,828",0.288,"1,583.60",2268308000,0.274,0.004,S,0.073,2168104000,0.023,0.108,"44,087",0.807,"98,359","$21,941 ",0.766,NA,"$115,900 ",0.073,0.817,0.013,62.95,Z,"$23,565 ",0.513,239815000,0.88,"$42,261 "
West Des Moines ,Iowa,0.007,16.5,257348000,0.241,0.061,0.094,F,0.495,0.048,0.106,0.013,"56,609",0.019,"5,703",0.649,0.071,2.32,83910,"23,549",0.385,"1,467.00",275121000,0.256,0.002,0.034,0.052,1228515000,0.01,0.033,"26,219",0.884,"46,403","$22,414 ",0.85,NA,"$181,900 ",0.118,0.802,0.22,38.59,Z,"$37,522 ",0.517,186547000,0.952,"$63,978 "
Muscatine ,Iowa,F,14.9,2709539000,0.264,0.176,0.081,F,0.201,0.008,0.136,S,"22,886",0.022,"2,050",0.722,0.077,2.41,55110,"9,398",0.205,"1,323.20",270996000,0.333,0.005,F,0.166,381304000,0.014,0.023,"9,830",0.878,"22,697","$17,033 ",0.79,NA,"$98,000 ",0.145,0.838,0.008,17.3,Z,"$23,690 ",0.509,42059000,0.821,"$46,178 "
Mount Pleasant ,Iowa,F,15.7,849909000,0.211,0.163,0.079,F,0.224,0.044,0.153,F,"8,668",0.025,828,0.67,0.058,2.56,54705,"3,284",0.234,"1,019.00",42779000,0.205,0.004,F,0.067,185962000,F,0.043,"3,365",0.857,"8,751","$21,130 ",0.822,NA,"$97,300 ",0.094,0.794,-0.009,8.51,0.003,"$23,460 ",0.473,20289000,0.89,"$40,265 "
Urbandale ,Iowa,F,18.3,556911000,0.261,0.036,0.076,F,0.474,0.035,0.118,0.01,"39,463",0.017,"4,842",0.796,0.07,2.49,79950,"15,063",0.213,"1,800.30",817510000,0.251,0.001,0.019,0.031,961106000,S,0.028,"16,319",0.911,"29,072","$25,294 ",0.89,NA,"$191,000 ",0.109,0.858,0.357,21.92,Z,"$38,078 ",0.516,71917000,0.969,"$80,751 "
Vinton ,Iowa,F,24.3,NA,0.247,0.14,0.011,F,0.182,0.003,0.195,F,"5,257",0.012,528,0.69,0.064,2.34,81210,"2,195",0.159,"1,109.80",32736000,0.184,0.002,F,0.01,60326000,F,0.003,"2,299",0.978,"5,102","$11,831 ",0.972,NA,"$105,300 ",0.039,0.946,0.03,4.74,0,"$20,592 ",0.527,5047000,0.938,"$42,355 "
Grimes ,Iowa,F,20.3,D,0.312,0.041,0.031,F,0.364,0.017,0.057,F,"8,246",0.013,787,0.798,0.099,2.71,33060,"2,820",0.189,696.5,201751000,0.233,0.002,F,0.025,107479000,F,0.011,"3,272",0.95,"5,098","$13,742 ",0.937,NA,"$160,700 ",0.058,0.892,0.617,11.84,Z,"$28,789 ",0.507,8455000,0.969,"$72,308 "
Carroll ,Iowa,F,10,D,0.239,0.124,0.007,F,0.202,0.007,0.197,F,"10,103",0.013,"1,235",0.682,0.072,2.19,11080,"4,370",0.278,"1,774.30",183352000,0.334,0.001,F,0.024,205776000,F,0.005,"4,698",0.96,"10,106","$20,746 ",0.952,NA,"$119,400 ",0.023,0.817,Z,5.69,Z,"$25,211 ",0.529,18255000,0.885,"$45,402 "
Ottumwa ,Iowa,F,15.4,D,0.233,0.193,0.068,F,0.145,0.009,0.16,F,"25,023",0.018,"2,081",0.721,0.072,2.32,60465,"10,491",0.177,"1,578.00",123392000,0.19,0.006,F,0.113,458797000,F,0.019,"11,257",0.902,"24,998","$18,847 ",0.843,NA,"$68,000 ",0.11,0.819,0.001,15.86,0.002,"$20,415 ",0.516,40935000,0.817,"$35,540 "
Webster City ,Iowa,F,12.9,D,0.245,0.109,0.036,F,0.158,0.034,0.193,F,"8,070",0.017,720,0.734,0.068,2.22,83145,"3,588",0.219,910.4,58344000,0.361,0.002,S,0.074,101387000,F,0.004,"3,800",0.908,"8,176","$13,089 ",0.874,NA,"$84,700 ",0.054,0.851,-0.013,8.86,0,"$24,867 ",0.515,10389000,0.885,"$38,983 "
Decorah ,Iowa,F,11.7,D,0.143,0.132,0.037,F,0.341,0.022,0.187,F,"8,127",0.01,"1,357",0.622,0.038,2.22,19405,"2,688",0.292,"1,158.80",27680000,0.245,Z,F,0.02,211831000,F,0.015,"3,121",0.946,"8,172","$26,828 ",0.934,NA,"$140,900 ",0.061,0.746,-0.006,7.01,Z,"$20,368 ",0.539,17396000,0.901,"$44,432 "
Iowa City ,Iowa,F,16.1,D,0.149,0.276,0.095,F,0.599,0.069,0.082,S,"67,862",0.025,"4,186",0.491,0.047,2.21,38595,"26,945",0.464,"2,713.30",208380000,0.259,0.002,S,0.053,889475000,0.028,0.058,"29,270",0.825,"62,220","$13,320 ",0.797,NA,"$176,600 ",0.124,0.618,0.091,25.01,Z,"$24,853 ",0.503,125076000,0.957,"$40,716 "
Sioux City ,Iowa,S,16.2,2287972000,0.266,0.154,0.096,F,0.203,0.027,0.124,0.021,"82,684",0.037,"5,766",0.653,0.081,2.51,73335,"31,298",0.225,"1,441.70",1492600000,0.262,0.026,0.012,0.164,1425644000,0.01,0.029,"33,425",0.806,"85,013","$17,403 ",0.735,NA,"$91,100 ",0.164,0.813,-0.027,57.35,0.001,"$21,147 ",0.508,149413000,0.838,"$42,678 "
Algona ,Iowa,F,13.6,179164000,0.219,0.101,0.004,F,0.19,0.007,0.243,F,"5,560",0.01,798,0.769,0.057,2.18,1135,"2,476",0.194,"1,238.90",47718000,0.229,0.001,F,0.014,106318000,F,0.005,"2,711",0.972,"5,741","$20,045 ",0.964,NA,"$90,200 ",0.032,0.871,-0.032,4.49,0,"$23,701 ",0.525,10414000,0.874,"$39,258 "
North Liberty ,Iowa,F,21.5,D,0.281,0.073,0.026,F,0.505,0.018,0.035,0.041,"13,374",0.023,825,0.712,0.117,2.28,57360,"5,224",0.329,"1,707.40",21993000,0.268,0.002,F,0.035,51796000,F,0.045,"5,761",0.902,"5,367","$4,716 ",0.88,NA,"$150,400 ",0.047,0.774,1.492,7.83,Z,"$29,980 ",0.51,7378000,0.975,"$59,781 "
Oelwein ,Iowa,F,17.6,NA,0.231,0.201,0.014,F,0.109,0.006,0.212,F,"6,415",0.016,414,0.754,0.073,2.24,58620,"2,750",0.134,"1,334.50",24277000,0.287,0.001,F,0.029,61434000,S,0.009,"3,058",0.961,"6,692","$10,079 ",0.939,NA,"$62,400 ",0.043,0.782,-0.041,4.81,0.001,"$20,534 ",0.524,7102000,0.831,"$35,617 "
Winterset ,Iowa,F,27.7,NA,0.268,0.123,0.012,F,0.141,0.004,0.186,F,"5,190",0.007,F,0.732,0.081,2.47,86520,"1,972",0.216,"1,134.20",NA,F,0.002,F,0.02,NA,F,0.002,"2,267",0.981,"4,768",NA,0.966,NA,"$123,000 ",0.015,0.865,0.089,4.58,0,"$20,147 ",0.534,NA,0.913,"$40,313 "
Storm Lake ,Iowa,F,11.9,D,0.259,0.151,0.241,F,0.227,0.098,0.125,S,"10,600",0.024,908,0.603,0.078,2.65,75630,"3,575",0.233,"2,594.90",36791000,0.197,0.004,S,0.361,194472000,F,0.044,"3,791",0.684,"10,076","$20,497 ",0.482,NA,"$89,100 ",0.407,0.771,0.052,4.09,0.009,"$17,449 ",0.499,24702000,0.706,"$40,800 "
Hiawatha ,Iowa,F,16.6,D,0.238,0.121,0.033,F,0.233,0.022,0.135,F,"7,024",0.025,793,0.644,0.071,2.22,35940,"2,987",0.325,"1,662.10",150457000,0.28,0.002,F,0.023,203140000,F,0.051,"3,310",0.889,"6,480","$30,465 ",0.878,NA,"$118,400 ",0.04,0.772,0.084,4.23,0.002,"$25,047 ",0.512,5889000,0.927,"$48,367 "
Cedar Falls ,Iowa,F,13.9,D,0.173,0.21,0.034,F,0.428,0.023,0.124,F,"39,260",0.017,"2,720",0.639,0.05,2.41,11755,"13,978",0.316,"1,365.70",416069000,0.267,0.002,S,0.02,611036000,S,0.021,"15,477",0.934,"36,145","$16,316 ",0.922,NA,"$151,400 ",0.052,0.706,0.086,28.75,Z,"$23,730 ",0.519,81224000,0.937,"$47,339 "
Marshalltown ,Iowa,F,14.9,D,0.261,0.145,0.129,F,0.192,0.017,0.167,F,"27,552",0.026,"1,623",0.707,0.078,2.47,49755,"10,445",0.223,"1,429.00",186696000,0.29,0.006,F,0.241,372970000,F,0.022,"11,171",0.848,"26,009","$14,535 ",0.703,NA,"$92,800 ",0.223,0.846,0.059,19.28,0.002,"$21,430 ",0.502,39298000,0.829,"$41,738 "
Waterloo ,Iowa,F,15.8,4506442000,0.237,0.179,0.06,F,0.191,0.011,0.14,0.006,"68,406",0.03,"5,197",0.669,0.075,2.32,82425,"28,660",0.233,"1,114.30",641758000,0.284,0.003,S,0.056,1134515000,0.062,0.155,"30,723",0.773,"68,747","$17,205 ",0.749,NA,"$100,000 ",0.097,0.803,-0.005,61.39,0.003,"$22,057 ",0.516,101831000,0.861,"$40,517 "
Denison ,Iowa,F,8.6,D,0.29,0.1,0.23,F,0.184,0.01,0.139,F,"8,298",0.023,545,0.747,0.089,2.65,19945,"2,840",0.21,"1,268.00",50157000,S,0.006,F,0.421,123879000,F,0.023,"2,968",0.706,"7,339","$17,115 ",0.539,NA,"$99,000 ",0.365,0.859,0.131,6.54,0.002,"$19,635 ",0.493,10905000,0.688,"$43,775 "
Eldridge ,Iowa,F,20.2,NA,0.288,0.059,0.028,F,0.335,0.005,0.111,F,"5,651",0.018,F,0.758,0.077,2.7,24600,"1,973",0.277,596,NA,F,0.002,F,0.021,NA,F,0.005,"2,296",0.968,"4,159",NA,0.951,NA,"$173,600 ",0.054,0.86,0.359,9.48,0,"$29,793 ",0.52,NA,0.94,"$63,074 "
Altoona ,Iowa,F,20.5,NA,0.3,0.052,0.027,F,0.322,0.011,0.091,F,"14,541",0.015,"1,329",0.762,0.087,2.61,1630,"5,245",0.213,"1,554.90",256301000,0.183,0.001,S,0.029,361425000,S,0.011,"5,702",0.951,"10,345","$26,251 ",0.933,NA,"$159,900 ",0.047,0.871,0.406,9.35,0.002,"$28,885 ",0.511,35891000,0.951,"$62,687 "
Johnston ,Iowa,F,17.7,NA,0.299,0.043,0.073,F,0.486,0.046,0.099,F,"17,278",0.015,"1,387",0.796,0.072,2.72,39765,"5,684",0.162,"1,007.00",72170000,0.238,0.001,S,0.02,218715000,F,0.022,"6,618",0.91,"8,649","$14,325 ",0.896,NA,"$236,700 ",0.094,0.806,0.998,17.16,Z,"$39,687 ",0.51,32708000,0.966,"$89,453 "
